comedian,full_name,country,birth_year
Jim Gaffigan,James Christopher Gaffigan,USA,1966
Jim Jefferies,Geoff Nugent,Australia,1977
Jim Norton,"James Joseph Norton, Jr.",USA,1968
Jimmy Carr,James Anthony Patrick Carr,England,1972
Jo Koy,Joseph Glenn Herbert,USA,1971
Joan Rivers,Joan Alexandra Molinsky,USA,1933
Joe Rogan,Joseph James Rogan,USA,1967
Joey Bishop,Joseph Abraham Gottlieb,USA,1918
John Caparulo,John Caparulo,USA,1975
John Heffron,John Heffron,USA,2004
John Mulaney,John Mulaney,USA,1982
John Oliver,John William Oliver,England,1977
John Pinette,John Pinette,USA,1964
Johnny Carson,John William Carson,USA,1925
Jon Stewart,Jonathan Stuart Leibowitz,USA,1962
Jonathan Katz,Jonathan Paul Katz,USA,1946
Jonathan Winters,Jonathan Harshman Winters III,USA,1925
Josh Blue,Josh Blue,Cameroon,1978
Judah Friedlander,Judah Friedlander,USA,1969
Judy Gold,Judy Gold,USA,1962
Judy Tenuta,Judy Tenuta,USA,1956
Kathleen Madigan,Kathleen Madigan,USA,1965
Kathy Griffin,Kathleen Mary Griffin,USA,1960
Katt Williams,Micah S. Katt Williams,USA,1973
Kevin Hart,Kevin Hart,USA,1980
Kevin James,Kevin George Knipfing,USA,1965
Kevin Pollak,Kevin Elliot Pollak,USA,1957
Kyle Cease,Kyle Cease,USA,1977
Larry Miller,Lawrence J. Miller,USA,1953
Larry the Cable Guy,Daniel Lawrence Whitney,USA,1963
Laura Kightlinger,Laura Kightlinger,USA,1994
Lavell Crawford,Lavell Maurice Crawford,USA,1968
Lenny Bruce,Leonard Alfred Schneider,USA,1925
Lewis Black,Lewis Niles Black,USA,1948
Lisa Lampanelli,Lisa Marie Lampugnale,USA,1961
Loni Love,Loni Love,USA,1971
Louie Anderson,Louie Perry Anderson,USA,1953
Louis C. K.,Louis Szekely,USA,1967
Lynne Koplitz,Lynne Koplitz,USA,1989
Marc Maron,Marc Maron,USA,1963
Margaret Cho,Margaret Moran Cho,USA,1968
Maria Bamford,Maria Bamford,USA,1970
Mario Cantone,Mario Cantone,USA,1959
Mark Curry,Mark G. Curry,USA,1961
Martin Lawrence,Martin Fitzgerald Lawrence,Germany,1965
Maz Jobrani,Maziyar Jobrani,Iran,1972
Mike Birbiglia,Michael Birbiglia,USA,1978
Mike DeStefano,Mike DeStefano,USA,1966
Mike Epps,Michael Elliot Epps,USA,1970
Milton Berle,Milton Berlinger,USA,1908
Mitch Fatel,Mitch Faytel,USA,1968
Mitch Hedberg,Mitchell Lee Hedberg,USA,1968
Mo'Nique,Monique Angela Imes,USA,2005
Moms Mabley,Loretta Mary Aiken,USA,1975
Mort Sahl,Morton Lyon Sahl,Canada,1927
Myq Kaplan,Michael Kaplan,USA,1978
Natasha Leggero,Natasha Leggero,USA,1974
Neil Hamburger,Neil Hamburger,Australia,1996
Nick Di Paolo,Nicholas Rocco Di Paolo,USA,1962
Nick Kroll,Nicholas J. Kroll,USA,1978
Nick Swardson,Nicholas Roger Swardson,USA,1976
Norm Macdonald,Norman Gene Macdonald,Canada,1963
Pablo Francisco,Pablo Ridson Francisco,USA,1974
Pat Cooper,Pasquale Caputo,USA,1929
Patrice O'Neal,Patrice Malcolm Oneal,USA,1969
Patton Oswalt,Patton Oswalt,USA,1969
Paul F. Tompkins,Paul Francis Tompkins,USA,1967
Paul Mooney,Paul Gladney,USA,1941
Paul Provenza,Paul Provenza,USA,1957
Paul Reiser,Paul Reiser,USA,1957
Paul Rodriguez,Paul Rodriguez,Mexico,1955
Paula Poundstone,Paula Poundstone,USA,1959
Pauly Shore,Paul Montgomery Shore,USA,1968
Pete Correale,Pete Correale,USA,1992
Phyllis Diller,Phyllis Ada Driver,USA,1917
Pigmeat Markham,Dewey Markham,USA,1904
Ralphie May,Ralphie D. May,USA,1972
Ray Romano,Raymond Albert Romano,USA,1956
Red Buttons,Aaron Chwatt,USA,1919
Redd Foxx,John Elroy Sanford,USA,1922
Rene Hicks,René Hicks,USA,1995
Rich Vos,Richard Ira Vos,USA,1957
Richard Belzer,Richard Jay Belzer,USA,1944
Richard Jeni,Richard John Colangelo,USA,1957
Richard Lewis,Richard Philip Lewis,USA,1947
Richard Pryor,Richard Franklin Lennox Thomas Pryor,USA,1940
Rick Shapiro,Rick Shapiro,USA,1969
Ricky Gervais,Ricky Dene Gervais,England,1961
Rita Rudner,Rita Rudner,USA,1953
